id,"en","fr"
BUTTON_ORIGINAL,"Original rules","Règles originales"
BUTTON_CLASSIC,"Classic rules","Règles classiques"
BUTTON_QUIT,"Quit","Quitter"
BUTTON_OPTIONS,"Options","Options"
BUTTON_LANGUAGE,"Language","Langue"
BUTTON_CREATE_GAME,"Create lobby","Créer une partie"
BUTTON_JOIN_GAME,"Join a lobby","Rejoindre une partie"
BUTTON_JOIN,"Join","Rejoindre"
BUTTON_SPLIT_SCREEN_TYPE,"Split screen","Écran partagé"
BUTTON_LAN_TYPE,"Local game","Réseau local"
BUTTON_ONLINE_TYPE,"Online game","Partie en ligne"
LABEL_IP_ADDRESS,"IP Address", "Adresse IP"
LABEL_CASE_AIRPORT,"Airport","Aéroport"
LABEL_CASE_ALGER,"Alger","Alger"
LABEL_CASE_BEGIN,"Begin","Départ"
LABEL_CASE_BERLIN,"Berlin","Berlin"
LABEL_CASE_BOMBAY,"Bombay","Bombay"
LABEL_CASE_BUENOSAIRES,"Buenos Aires","Buenos Aires"
LABEL_CASE_CASABLANCA,"Casablanca","Casablanca"
LABEL_CASE_DAKAR,"Dakar","Dakar"
LABEL_CASE_FESTIVAL,"Festival","Festival"
LABEL_CASE_HONGKONG,"Hong-Kong","Hong-Kong"
LABEL_CASE_JAKARTA,"Jakarta","Jakarta"
LABEL_CASE_KINSHASA,"Kinshasa","Kinshasa"
LABEL_CASE_LECAIRE,"Le Caire","Le Caire"
LABEL_CASE_LONDRES,"London","Londres"
LABEL_CASE_LOSANGELES,"Los Angeles","Los Angeles"
LABEL_CASE_MADRID,"Madrid","Madrid"
LABEL_CASE_MEXICO,"Mexico","Mexico"
LABEL_CASE_MONTREAL,"Montréal","Montréal"
LABEL_CASE_NEWYORK,"New-York","New-York"
LABEL_CASE_OLYMPICS,"Olympics","Jeux Olympiques"
LABEL_CASE_PARIS,"Paris","Paris"
LABEL_CASE_PEKIN,"Pékin","Pékin"
LABEL_CASE_PRISON,"Prison","Prison"
LABEL_CASE_ROME,"Rome","Rome"
LABEL_CASE_SAOPOLO,"Sao Polo","Sao Polo"
LABEL_CASE_SEOUL,"Seoul","Seoul"
LABEL_CASE_TAXES,"Taxes","Taxes"
LABEL_CASE_TOKYO,"Tokyo","Tokyo"
LABEL_CASE_WHEEL,"Wheel","Roue"
LABEL_CASE_WONDER,"Wonder","Merveille"
LABEL_WONDER_EIFFEL_TOWER,"Eiffel tower","Tour eiffel"
LABEL_WONDER_PYRAMIDS,"Pyramids","Pyramides"
LABEL_WONDER_OLYMPIC_STADIUM,"Olympic stadium","Stade olympique"
LABEL_WONDER_EMPIRE_STATE_BUILDING,"Empire State Building","Empire State Building"
LABEL_WONDER_HOLLYWOOD,"Hollywood","Hollywood"
LABEL_WONDER_ZOCALO,"Zocalo","Zocalo"
LABEL_WONDER_AVENIDA_PAULISTA,"Avenida Paulista","Avenida Paulista"
LABEL_WONDER_LA_CASA_ROSADA,"La casa rosada","La casa rosada"
LABEL_WONDER_PLAZA_MAYOR,"Plaza Mayor","Plaza Mayor"
LABEL_WONDER_COLISEE,"Colosseum","Colisée"
LABEL_WONDER_BRANDEBOURG_GATE,"Brandenburg Gate","Porte de Brandebourg"
LABEL_WONDER_BIG_BEN,"Big Ben","Big Ben"
LABEL_WONDER_RUELLES_DE_LA_CASBAH,"Casbah of Algiers","Casbah d'Alger"
LABEL_WONDER_MOSQUÉE_HASSAN,"Hassan II Mosque","Mosquée Hassan-II"
LABEL_WONDER_BACARY_TRAORÉ,"African Renaissance Monument","Monument de la Renaissance africaine"
LABEL_WONDER_NYIRAGONGO,"Nyiragongo","Nyiragongo"
LABEL_WONDER_LES_JARDINS_SECRETS,"Changdeokgung","Changdeokgung"
LABEL_WONDER_LA_CITÉ_INTERDITE,"Forbidden City","Cité interdite"
LABEL_WONDER_LE_FORT_DE_TUNG_CHUNG,"Tung Chung Fort","Fort de Tung Chung"
LABEL_WONDER_MONUMENT_NASIONAL,"National Monument","Monumen Nasional"
LABEL_WONDER_SHIBUYA,"Shibuya","Shibuya"
